Project Number,Fund Name,"Project Size, kW",Site Name,Address,Store Number,Operation Mode,Primary IP (Bell),Backup IP
152854,TPG,1000,Aurora,15900 Bayview Ave,1030,Closed Transition,174.90.154.17,74.198.113.4
152855,TPG,1000,Richmond Hill,301 Hightech Rd,1028,Paralleling,174.90.154.18,74.198.113.0
152853,TPG,1000,Markham,200 Bullock Ave,1032,Paralleling,174.90.154.15,74.198.113.5
152852,TPG,1000,Newmarket,18120 Yonge St,1018,Closed Transition,174.90.154.6,74.198.113.7
152857,TPG,1000,Glen Erin,5010 Glen Erin Dr,1011,Closed Transition,174.90.154.7,74.198.113.8
152850,TPG,1000,Winston Churchill,3050 Argentia Rd,1080,Closed Transition,174.90.154.8,74.198.112.253
152849,TPG,1000,North Oakville,201 Oak Park,1024,Paralleling,174.90.154.14,74.198.113.1
152871,TPG,1000,South Orleans,4270 Innes Rd,1071,Closed Transition,174.90.154.61,74.198.112.251
152865,TPG,1000,Oshawa,1385 Harmony Rd,1043,Closed Transition,174.90.154.60,74.198.113.2
152864,TPG,1000,Milton,820 Main St,2810,Closed Transition,174.90.154.62,74.198.113.6
152856,TPG,1000,Kitchener,875 Highland Rd,2822,Closed Transition,174.90.154.59,74.198.112.252
152866,TPG,1000,Whitby,200 Taunton Rd W,1058,Closed Transition,174.90.154.63,74.198.112.254
